RA,DEC,PMRA,PMRA Error,PMDEC,PMDEC Error,Parallax,Parallax Error,Name,Spec,J-mag,J-mag Error,H-mag,H-mag Error,K-mag,K-mag Error
87.77542136827383,-12.653524808023635,-140.3,2.7,-59.4,2.2,34.5,3.4,PSO J087.7749-12.6537     ,L8          ,16.631,0.13,15.693,0.149,14.705,0.131
88.5709942683867,-0.14256153551862016,16.4,1.9,-103.8,2.0,31.7,3.4,PSO J088.5709-00.1430     ,T4.5        ,16.265,0.081,15.842,0.119,15.459,0.214
89.17464697057753,-9.450880098375764,-112.3,2.0,-115.1,2.1,44.3,2.5,PSO J089.1751-09.4513     ,T5.5        ,16.78,0.147,15.812,,16.965,
90.52900253918966,40.73315601860518,229.9,2.9,-225.7,2.9,65.1,4.2,2MASS J06020638+4043588   ,T4.5        ,15.544,0.067,15.592,0.137,15.166,0.162
91.92746643698486,45.84544828212442,106.9,3.6,-564.2,4.1,33.6,3.5,WISEA J060742.13+455037.0 ,L2.5        ,14.942,0.037,14.034,0.035,13.329,0.028
93.65975714477005,9.860309484002341,387.5,1.7,-156.2,1.5,56.7,2.0,WISE J061437.73+095135.0  ,T7          ,16.588,0.135,15.595,0.118,15.02,0.117
93.65875408448943,39.84337306321893,-31.9,1.7,-264.9,1.8,44.0,2.6,2MASS J06143818+3950357   ,L9:         ,15.027,0.036,14.73,0.025,14.546,0.074
96.42622239055906,56.773846631500795,-49.9,2.5,-22.3,2.5,44.4,3.4,WISEPA J062542.21+564625.5,T6          ,16.783,0.151,16.233,0.248,15.771,
97.2714218997873,24.302447346858038,-6.4,2.5,-352.6,2.0,33.0,3.1,WISE J062905.13+241804.9  ,T2          ,16.335,0.134,15.467,0.15,15.131,0.15
101.9625993111789,-15.771587346841542,110.8,3.9,123.2,3.2,47.6,3.9,WISEA J064750.85-154616.4 ,L9.5        ,15.314,0.05,14.292,0.05,13.739,0.056
103.09271546910297,41.460167172769765,-1.7,2.9,-38.2,2.2,45.1,3.7,PSO J103.0927+41.4601     ,T0          ,15.481,0.06,14.46,0.053,13.893,0.047
103.1268284760199,47.17640087501232,-119.6,3.2,128.0,3.9,107.2,3.3,2MASSI J0652307+471034    ,L6.5        ,13.511,0.023,12.384,0.024,11.694,0.02
108.96475511096993,-11.75784358657985,697.4,3.8,-383.3,3.0,57.9,3.7,WISEA J071552.38-114532.9 ,L4pec       ,14.301,0.04,13.487,0.049,12.805,0.042
110.81108588444148,57.452223391483074,56.0,6.5,-216.5,7.9,42.0,3.3,2MASS J07231462+5727081   ,L0.2        ,13.97,0.027,13.156,0.03,12.613,0.03
115.49109613146267,5.532587794046939,-8.7,4.4,-221.7,2.2,36.2,4.4,2MASS J07415784+0531568   ,L1.5        ,14.387,0.032,13.611,0.032,13.12,0.034
118.94968934968503,22.20482412822154,-23.1,3.7,-265.1,3.0,58.9,3.3,2MASSI J0755480+221218    ,T5          ,15.728,0.064,15.669,0.145,15.753,0.208
121.7509852259774,41.50857105510861,-11.2,2.7,-350.6,3.1,51.1,3.8,WISE J080700.23+413026.8  ,L8pec       ,15.835,0.085,14.783,0.07,14.354,0.076
122.49600415763294,44.57274020367067,-181.8,2.7,-203.4,2.5,42.4,3.6,SDSS J080959.01+443422.2  ,L5.4 (INT-G),16.437,0.114,15.184,0.098,14.417,0.059
124.99072960059473,-3.5906782205428835,-198.7,2.6,-166.5,2.2,71.7,3.3,WISEPA J081958.05-033529.0,T4          ,14.991,0.044,14.638,0.057,14.586,0.105
125.1251512756603,45.008719132744694,-116.8,3.0,-316.4,2.1,30.9,3.6,2MASSW J0820299+450031    ,L4.5::      ,16.279,0.108,15,0.087,14.218,0.066
125.381633636439,14.7229183494887,-36.0,2.7,-279.2,2.8,43.7,3.9,WISEPA J082131.63+144319.3,T5.5        ,16.825,0.155,16.515,0.24,17.089,
125.95097488166884,24.482749331599248,-160.5,3.6,43.5,2.5,42.3,3.6,2MASS J08234818+2428577   ,L1.5        ,14.986,0.043,14.06,0.044,13.377,0.03
